Extracting MNIST_data/train-images-idx3-ubyte.gz
Extracting MNIST_data/train-labels-idx1-ubyte.gz
Extracting MNIST_data/t10k-images-idx3-ubyte.gz
Extracting MNIST_data/t10k-labels-idx1-ubyte.gz
0.9362 19.729
0.9407 18.5533
0.9441 17.6739
0.9448 17.1954
0.9466 16.969
0.9485 16.561
0.9496 16.3968
0.9506 16.5005
0.952 16.3479
0.9521 16.3563
0.9513 16.1421
0.9505 16.6755
0.9489 17.5361
0.9458 18.0729
0.9436 18.6994
0.9433 18.2993
0.9464 17.189
0.9491 16.3848
0.953 15.2512
0.9536 14.4233
0.9519 14.7746
0.9495 15.4966
0.9488 16.0145
0.9487 16.0158
0.9516 15.2742
0.9545 15.0025
0.9542 15.2112
0.9513 16.0315
0.95 16.1989
0.9532 15.3816
0.9565 14.311
0.9602 13.395
0.9605 12.999
0.9605 12.9045
0.9594 13.0558
0.958 13.4216
0.9572 13.6307
0.9587 13.6323
0.9574 13.8156
0.9566 13.9231
0.9563 13.9822
0.9561 14.1505
0.9558 14.0731
0.9564 13.8435
0.9554 13.9077
0.9562 13.8806
0.9557 13.8918
0.9567 14.0278
0.9559 14.1814
0.9565 14.2728
0.9572 13.8962
0.9584 13.3459
0.9589 13.2926
0.9585 13.3698
0.9592 13.5097
0.9584 13.7377
0.9579 13.6648
0.958 13.6273
0.9579 13.6222
0.9573 13.5724
0.9568 13.7571
0.9551 14.0942
0.9539 14.7544
0.9492 15.9946
0.9469 16.7424
0.9476 16.6501
0.9482 16.3755
0.9504 15.7042
0.9535 14.9924
0.9556 14.1693
0.9572 13.2774
0.9585 12.9843
0.9587 13.1041
0.9577 13.5622
0.9557 14.5159
0.9544 15.3999
0.953 15.9122
0.9536 15.2239
0.956 14.1325
0.959 13.4068
0.9591 13.113
0.9598 13.0177
0.9596 13.2087
0.9578 13.7011
0.9558 14.191
0.954 14.9723
0.9513 15.4713
0.9528 15.3058
0.9556 14.6449
0.9568 14.1328
0.9561 14.2344
0.9561 14.5744
0.9537 15.091
0.9519 15.4016
0.9529 15.2947
0.9536 15.1247
0.956 14.5232
0.9567 14.1528
