Extracting MNIST_data/train-images-idx3-ubyte.gz
Extracting MNIST_data/train-labels-idx1-ubyte.gz
Extracting MNIST_data/t10k-images-idx3-ubyte.gz
Extracting MNIST_data/t10k-labels-idx1-ubyte.gz
0.9483 1632.22
0.9499 1614.33
0.951 1606.03
0.9499 1616.3
0.95 1615.69
0.9501 1598.85
0.9512 1584.64
0.9521 1555.8
0.9515 1555.82
0.9512 1600.69
0.9502 1662.15
0.9486 1706.35
0.9478 1716.86
0.9506 1650.89
0.9527 1594.76
0.953 1565.09
0.9515 1570.05
0.9505 1583.49
0.9506 1587.4
0.949 1610.23
0.9489 1638.73
0.9483 1661.26
0.9476 1658.11
0.9491 1638.49
0.9475 1645.68
0.9482 1648.22
0.9507 1578.75
0.9516 1537.77
0.9519 1536.47
0.9501 1587.36
0.9482 1635.25
0.9495 1603.4
0.9521 1533.32
0.9556 1474.95
0.9562 1433.06
0.9572 1410.5
0.9567 1416.84
0.9558 1437.89
0.9553 1457.87
0.9558 1457.13
0.9563 1440.28
0.9564 1429.04
0.9572 1400.26
0.9578 1372.91
0.957 1352.05
0.9577 1339.97
0.9592 1328.54
0.9593 1327.06
0.9594 1331.69
0.9594 1340.64
0.9589 1345.64
0.9598 1346.74
0.9593 1350.61
0.9583 1353.71
0.9584 1345.48
0.9594 1342.83
0.9576 1352.01
0.9576 1353.54
0.9575 1360.96
0.9574 1359.98
0.9564 1376.56
0.9558 1378.29
0.9565 1379.51
0.9568 1392.32
0.956 1410.13
0.9564 1429.4
0.956 1451.62
0.9549 1467.87
0.9548 1480.27
0.9561 1458.87
0.9566 1439.28
0.9561 1436.5
0.956 1422.82
0.9545 1432.44
0.9546 1451.71
0.9544 1442.14
0.9562 1429.05
0.9561 1408.87
0.9569 1433.04
0.9546 1503.04
0.9505 1603.98
0.9472 1662.13
0.948 1647.21
0.9501 1568.1
0.9531 1470.28
0.9568 1382.95
0.9594 1317.93
0.9612 1295.58
0.9605 1310.6
0.9583 1366.47
0.9553 1436.75
0.953 1496.58
0.9522 1524.12
0.9536 1502.92
0.9559 1429.44
0.9586 1373.84
0.9592 1345.34
0.9591 1327.24
0.9585 1335.53
0.9589 1349.37
0.9579 1365.64
0.958 1368.76
0.9588 1351.41
0.9589 1335.7
0.9588 1331.37
0.9587 1336.85
0.9595 1361.96
0.9594 1379.48
0.9582 1399.96
0.9584 1393.32
0.9595 1361.72
0.9581 1349.77
0.9581 1360.28
0.9578 1370.19
0.9583 1372.5
0.9593 1358.3
0.9599 1344.68
0.9603 1330.23
0.9602 1325.76
0.961 1320.18
0.9605 1330.61
0.9608 1346.23
0.9605 1357.86
0.9601 1368.99
0.9598 1369.94
0.9586 1375.13
0.9579 1393.09
0.9577 1402.04
0.9568 1384.1
0.9576 1367.78
0.9576 1354.64
0.9587 1335.1
0.9599 1312.56
0.9601 1305.51
0.9604 1302.21
0.9615 1287.23
0.9614 1285.57
0.9611 1304.26
0.9589 1330.4
0.9577 1354.94
0.9569 1379.78
0.956 1396.49
0.9569 1374.12
0.958 1336.1
0.9592 1316.0
0.9611 1293.46
0.9613 1286.06
0.96 1297.98
0.9589 1323.74
0.9573 1395.27
0.9548 1484.27
0.9518 1594.25
0.9509 1631.95
0.9502 1645.57
0.9519 1582.15
0.9535 1489.46
0.9571 1405.09
0.959 1363.36
0.9608 1333.88
0.9612 1319.29
0.9611 1308.18
0.9621 1315.37
0.96 1339.05
0.9594 1356.44
0.9579 1386.92
0.9581 1378.07
0.9584 1342.01
0.9595 1297.3
0.9598 1283.47
0.9592 1283.56
0.9591 1266.87
0.9598 1258.18
