Extracting MNIST_data/train-images-idx3-ubyte.gz
Extracting MNIST_data/train-labels-idx1-ubyte.gz
Extracting MNIST_data/t10k-images-idx3-ubyte.gz
Extracting MNIST_data/t10k-labels-idx1-ubyte.gz
0.9532 15.198
0.9521 15.8345
0.9478 17.086
0.9432 18.3388
0.9414 18.5556
0.9448 17.8189
0.9494 16.6535
0.9535 15.7911
0.953 15.8057
0.9508 16.1358
0.9468 17.4615
0.9406 19.26
0.9346 21.2847
0.9347 21.3848
0.9405 19.3215
0.945 17.5882
0.9494 16.4308
0.9497 16.6458
0.9473 17.2853
0.9465 18.0115
0.9479 17.5761
0.9508 16.6739
0.9515 16.1317
0.9524 16.0769
0.9519 16.2087
0.9499 16.3878
0.9496 16.4397
0.9504 16.2566
0.9516 15.7777
0.9524 15.4282
0.9531 15.2166
0.9522 15.3206
0.9506 15.7585
0.9483 16.2998
0.9493 15.9167
0.9488 15.8551
0.953 15.1868
0.9524 15.0078
0.952 15.5046
0.95 16.4301
0.9453 17.7461
0.9442 17.6339
0.946 16.9974
0.9483 16.4419
0.9499 15.8241
0.9513 15.2584
0.9529 15.06
0.9514 15.311
0.9522 15.1847
0.9537 15.2769
0.9546 15.0738
0.9549 14.935
0.9547 15.0236
0.9541 15.2633
0.9539 15.326
0.9542 15.408
0.9544 15.2688
0.9554 15.1416
0.9536 15.5864
0.9519 15.7255
0.9547 15.1409
0.9558 14.5771
0.9576 14.1994
0.9563 14.83
0.9516 16.0112
0.951 16.3116
0.9494 16.5526
0.9543 15.5543
0.9518 15.7851
0.9486 16.5737
0.9509 16.0555
0.953 15.6016
0.9536 15.2368
0.9548 14.6627
0.9564 14.4667
0.9567 14.5836
0.9544 15.232
0.9538 15.5516
0.9541 15.1518
0.9557 14.6305
0.9561 14.4453
0.9561 14.6878
0.9554 15.0751
0.9551 15.1662
0.9533 15.2814
0.9512 15.5961
0.9516 15.8173
0.9513 15.7584
0.9533 15.1543
0.9542 14.7661
0.9548 14.924
0.9545 15.1281
0.9534 15.3748
0.9513 15.7957
0.9483 16.5169
0.9452 17.3319
0.9434 17.8536
0.9396 18.7909
0.9445 17.5301
0.9479 16.4566
0.9515 16.0074
0.951 16.6267
0.9484 17.9485
0.9429 19.5539
0.9362 21.3159
0.9323 22.4117
0.9398 20.1679
0.9478 16.7911
0.9529 15.5101
0.9507 15.8837
0.9453 17.6909
0.9449 17.5058
0.9475 17.0313
0.951 16.4006
0.9526 16.296
0.9513 16.7414
0.9498 17.2404
0.9483 17.2783
0.9497 16.6503
0.9521 16.0486
0.9523 15.627
0.952 15.6256
0.9498 16.1823
0.948 17.0529
0.9463 17.4382
0.946 17.389
0.9504 16.3205
0.9556 14.7045
0.9573 14.1572
0.9578 14.1144
0.9573 14.1921
0.9572 14.2532
0.9576 13.8617
0.9589 13.7262
0.9579 13.7632
0.9579 14.0406
0.9559 14.13
0.9557 14.327
0.9582 14.2291
0.959 13.9027
0.9591 13.7076
0.9585 13.9398
0.9543 14.6335
0.9539 14.8991
0.9572 14.1828
0.9575 14.0329
0.9579 14.2741
0.9547 14.9971
0.9514 15.7953
0.9552 15.1298
0.9548 14.8889
0.9565 14.3178
0.9563 14.2328
0.956 14.365
0.958 14.1309
0.9591 13.9033
0.9595 14.0414
0.9587 14.4018
0.958 14.9035
0.9577 15.0716
0.9572 14.7954
0.957 14.7029
0.956 14.5677
0.9559 14.3982
0.9554 14.4903
0.955 14.5927
0.9549 14.3229
0.9564 13.6125
0.9594 12.7367
0.9616 12.2597
0.962 12.4862
0.9603 13.2741
0.9576 14.2729
0.9573 15.1372
0.9552 15.6688
0.9551 15.4792
0.9574 14.6751
0.9585 13.9314
0.9603 13.3916
0.9609 12.7892
0.9616 12.5156
0.9614 12.463
0.9618 12.5104
0.9624 12.35
0.9627 12.3087
0.9633 12.4893
0.9623 12.7075
0.9595 13.1571
0.9583 13.2707
0.9591 13.4731
0.9599 13.1604
0.9607 13.1131
0.9599 13.1411
0.9596 13.1628
0.9595 13.1746
0.9599 13.1632
0.9607 13.0089
0.9608 12.7876
0.9606 12.7628
0.9606 13.0785
0.9595 13.5909
0.9591 13.925
0.9582 14.4533
0.9567 15.0547
0.9537 15.7676
0.9537 16.0757
0.9531 16.1007
0.954 15.8028
0.9578 14.9903
0.9602 14.1337
0.9599 13.4366
0.9607 13.2887
0.9595 13.3136
0.9614 13.0284
0.9608 13.0804
0.9607 13.3324
0.9589 13.7254
0.9586 13.9355
0.9579 13.8337
0.9583 13.5302
0.9584 13.408
0.9587 13.6555
0.9566 14.1335
0.9557 14.7705
0.9548 15.0677
0.9557 14.6857
0.9625 12.6428
0.9619 12.8271
0.9566 14.1877
0.9532 15.3358
0.9508 15.6644
0.952 15.2567
0.9567 14.1674
0.958 13.2835
0.9605 12.8687
0.9595 13.3794
0.9558 14.2874
0.9543 14.9335
0.9561 14.469
0.959 13.5065
0.9596 12.8348
0.9602 12.7299
0.959 12.9282
0.9531 14.3464
0.9506 14.737
0.9543 14.2646
0.9577 13.3982
0.9573 13.4372
0.9542 14.1184
0.9509 15.2154
0.9488 16.1819
0.9454 17.2959
0.9436 17.7595
0.9432 18.719
0.945 18.3095
0.9527 15.9042
0.9594 14.0387
0.9605 13.449
0.9589 13.3568
0.9588 13.5226
0.9581 14.0533
0.9571 14.5704
0.9564 14.4869
0.9582 14.0755
0.9594 13.7618
0.962 12.9613
0.962 12.5388
0.9633 12.3891
0.962 12.5045
0.9612 12.9091
0.959 13.4036
0.959 13.4869
0.9579 13.5212
0.9588 13.4522
0.9605 13.0195
0.9618 12.5083
0.9613 12.3099
0.9617 12.353
0.9611 12.5784
0.9608 12.7032
0.9591 12.8349
0.9595 12.7629
0.9607 12.6145
0.9618 12.6304
0.961 12.7467
0.9601 13.0649
0.9596 13.4234
0.9591 13.3381
0.9602 13.1081
0.9638 12.0377
0.966 11.4608
0.9659 11.1238
0.9659 11.1543
0.9631 11.7454
0.9604 12.7078
0.9585 13.2382
0.957 13.4795
0.9556 13.7477
0.9555 13.6332
0.958 13.3281
0.9602 12.9441
0.9617 12.4244
0.9623 12.2354
0.9626 12.0852
0.9627 12.0221
0.9629 11.9267
0.9632 11.9683
0.9636 12.0186
0.9626 12.2287
0.9634 12.052
0.9643 11.7221
0.9653 11.3459
0.9666 10.7868
0.9655 10.7485
0.9639 11.0189
0.9622 11.4591
0.9613 11.826
0.9611 11.7714
0.9622 11.6815
0.9636 11.4178
0.964 11.2302
0.9653 11.1562
0.9653 11.3271
0.964 11.5239
0.9628 11.8422
0.963 11.8147
0.9633 11.7594
0.9634 11.7368
0.9637 11.7972
0.9637 11.579
0.9643 11.5659
0.9655 11.7566
0.965 11.7095
0.9656 11.6986
0.9651 11.9811
0.9631 12.2373
0.9639 12.0354
0.9637 12.0199
0.9619 12.3221
0.9613 12.392
0.9621 12.4839
0.9603 12.9935
0.9588 13.3915
0.9585 13.7308
0.9562 14.3288
0.9533 14.897
0.9563 14.4905
0.9581 13.9043
0.9583 14.0608
0.9563 14.3064
0.9562 14.3412
0.9561 14.5805
0.958 13.9758
0.9593 13.2942
0.9611 12.7077
0.9617 12.2169
0.9631 12.1277
0.9641 12.1558
0.9631 12.3214
0.9612 12.6256
0.9599 13.1421
0.9593 13.3602
0.9584 13.5182
0.9573 13.5494
0.9576 13.5875
0.9582 13.7141
0.9595 13.6686
0.9604 13.4266
0.9606 13.3845
0.9604 13.3002
0.9607 13.4282
0.96 13.5909
0.9594 13.7979
0.9589 13.8468
0.9594 13.5761
0.96 13.4209
0.9594 13.6811
0.9574 14.0157
0.9572 14.2462
0.9576 13.9989
0.9607 13.2102
0.9617 12.5292
0.9635 12.0448
0.9629 11.9243
0.9608 12.2724
0.9591 12.9241
0.9554 14.2325
0.9542 14.4998
0.9572 13.5233
0.9591 12.7067
0.9609 12.2272
0.962 11.9402
0.9631 11.7582
0.9625 11.8955
0.9615 12.2318
0.961 12.2698
0.9624 11.9456
0.9636 11.6258
0.9623 11.6483
0.9613 12.5643
0.9595 13.1879
0.9585 13.5751
0.9588 13.4092
0.9614 12.9355
0.9626 12.4817
0.9647 11.9149
0.9651 11.4437
0.9648 11.4913
0.9637 11.837
0.9621 12.3189
0.9612 13.1091
0.9597 14.1991
0.9598 14.2379
0.9596 13.8167
0.9602 13.4157
0.9607 13.2905
0.9618 12.8817
0.9634 12.2898
0.9626 12.3606
0.9614 13.1243
0.954 15.1551
0.9455 17.4212
0.9402 19.1399
0.9496 16.6066
0.9578 14.35
0.9636 12.6581
0.9643 12.1768
0.963 12.629
0.9593 13.7855
0.9547 14.8127
0.9524 15.8359
0.9513 16.2926
0.9503 16.4203
0.9519 15.667
0.9538 14.8735
0.9572 13.7526
0.9616 12.3026
0.9656 11.4189
0.9658 11.3774
0.965 11.8129
0.9621 12.4834
0.9604 13.3775
0.9582 13.8088
0.9608 13.329
0.9614 12.9676
0.9635 12.4402
0.9646 11.934
0.9661 11.4485
0.9671 11.2557
0.9664 11.3141
0.9656 11.618
0.9649 11.9876
0.9637 12.4248
0.9628 12.5632
0.9626 12.6237
0.9621 12.4921
0.9623 12.3368
0.961 12.6076
0.9592 13.1879
0.9564 13.8863
0.9574 13.8798
0.9577 13.6829
0.9633 12.3145
0.9652 11.3915
0.9653 11.3053
0.9632 11.6686
0.9619 12.2107
0.9605 12.6396
0.961 12.7006
0.9626 12.3192
0.9641 11.7211
0.9659 11.0448
0.9665 10.8078
0.9647 11.1308
0.9633 11.8698
0.9621 12.1442
0.9615 12.5032
0.9601 12.8929
0.9598 13.1916
0.9596 13.136
0.9611 12.5098
0.9623 12.0765
0.9641 11.9014
0.9653 11.3609
0.9653 11.2187
0.9649 11.3165
0.9645 11.6554
0.9638 12.011
0.9642 12.2423
0.9639 12.348
0.9614 12.6936
0.9624 12.3149
0.9637 11.6877
0.9644 11.3073
0.9643 11.2375
0.9636 11.3625
0.9645 11.1894
0.9652 11.3793
0.9653 11.8199
0.9653 11.8579
0.9644 11.8061
0.9647 11.7967
0.9639 12.3511
0.9624 13.1758
0.9605 13.7355
0.9593 13.9578
0.962 12.9476
0.9623 12.427
0.9649 11.949
0.9647 11.8625
0.9646 11.9517
0.9652 12.0558
0.9651 12.2569
0.9649 12.5852
0.963 12.9635
0.9632 13.0658
0.9645 12.8376
0.9661 12.4969
0.9667 12.2428
0.9673 11.88
0.967 11.6956
0.9659 11.6622
0.966 11.5833
0.9662 11.6325
0.9665 11.3149
