Extracting MNIST_data/train-images-idx3-ubyte.gz
Extracting MNIST_data/train-labels-idx1-ubyte.gz
Extracting MNIST_data/t10k-images-idx3-ubyte.gz
Extracting MNIST_data/t10k-labels-idx1-ubyte.gz
0.9074 3423.7
0.9081 3381.93
0.9071 3427.76
0.9051 3459.41
0.9076 3424.53
0.9073 3422.84
0.908 3413.11
0.9082 3393.44
0.9093 3402.84
0.9098 3392.93
0.9087 3390.41
0.9098 3411.87
0.908 3397.89
0.9081 3405.43
0.9087 3401.22
0.9102 3415.36
0.9077 3446.04
0.9069 3419.41
0.9049 3468.34
0.9082 3405.43
0.9064 3437.69
0.9065 3409.67
0.9057 3426.8
0.9061 3423.87
0.9089 3355.5
0.9082 3361.78
0.9085 3356.42
0.9074 3344.84
0.9086 3327.54
0.9074 3367.48
0.9067 3403.15
0.9062 3425.52
0.9079 3387.15
0.9073 3413.95
0.9075 3348.67
0.9073 3375.89
0.9073 3347.31
0.9087 3332.7
0.9061 3406.52
0.9063 3358.47
0.9065 3379.57
0.9074 3336.5
0.9061 3369.02
0.9048 3388.59
0.9048 3369.02
0.9085 3357.31
0.9059 3364.19
0.9072 3344.31
0.9085 3336.6
0.9097 3333.04
0.909 3321.86
0.9088 3333.82
0.9086 3327.02
0.9083 3324.28
0.9082 3350.67
0.9056 3359.06
0.907 3334.42
0.908 3332.89
0.9079 3312.44
0.9089 3294.41
0.9079 3297.78
0.9069 3305.15
0.9078 3271.53
0.9101 3275.69
0.908 3316.38
0.91 3317.78
0.9082 3360.72
0.906 3352.51
0.9091 3283.09
0.9087 3300.0
0.9075 3311.8
0.908 3323.15
0.9083 3291.32
0.9078 3289.71
0.9076 3302.3
0.908 3305.48
0.9081 3325.56
0.9082 3296.13
0.9085 3311.24
0.9104 3260.36
0.9101 3271.72
0.9087 3282.67
0.9116 3267.96
0.9102 3309.28
0.911 3261.16
0.9117 3265.35
0.9105 3245.83
0.9086 3316.81
0.9072 3314.75
0.9067 3343.46
0.9093 3269.98
0.9073 3338.36
0.9093 3309.88
0.909 3268.27
0.9102 3296.65
0.9088 3298.42
0.9093 3290.86
0.9103 3284.37
0.9083 3324.73
0.9107 3256.04
0.908 3284.79
0.9078 3266.09
0.9078 3275.72
0.9062 3359.74
0.9078 3318.69
0.91 3244.43
0.9115 3230.23
0.9116 3233.02
0.9091 3279.39
0.91 3252.92
0.9099 3257.66
0.9106 3250.08
0.9088 3264.87
0.9086 3245.53
0.9096 3235.61
0.9061 3317.46
0.9067 3322.98
0.9096 3275.11
0.9112 3255.13
0.9105 3271.6
0.9101 3222.3
0.9094 3232.37
0.9081 3273.12
0.9101 3247.47
0.91 3249.41
0.9107 3212.79
0.9101 3217.01
0.9107 3213.23
0.91 3240.74
0.9089 3271.55
0.9078 3282.59
0.9098 3236.12
0.908 3263.9
0.9101 3222.77
0.912 3203.44
0.9081 3276.65
0.91 3220.84
0.9116 3221.89
0.9107 3226.8
0.907 3315.63
0.9092 3254.83
0.9089 3255.38
0.9088 3247.24
0.9105 3221.74
0.9107 3213.19
0.9094 3251.38
0.9127 3179.57
0.9121 3209.44
0.9109 3199.84
0.9078 3268.36
0.9095 3256.6
0.9114 3220.42
0.9107 3220.15
0.91 3206.75
0.9112 3186.7
0.91 3205.62
0.9126 3211.51
0.9085 3275.91
0.9106 3253.64
0.9078 3296.97
0.9072 3307.44
0.9077 3273.0
0.9082 3263.51
0.9089 3250.61
0.9117 3190.46
0.9114 3187.9
0.9108 3195.48
0.9103 3212.5
0.909 3195.93
0.9097 3188.36
0.9106 3180.85
0.9104 3233.54
0.911 3207.22
0.9111 3224.69
0.9119 3173.29
0.9126 3168.06
0.9131 3175.16
0.9114 3218.03
0.9112 3233.47
0.9112 3242.43
0.9107 3242.91
0.9107 3193.38
0.9112 3189.42
0.9119 3197.79
0.9092 3251.77
0.9076 3280.83
0.9105 3217.92
0.904 3361.67
0.9051 3342.4
0.9147 3192.73
0.914 3168.72
0.9134 3152.01
0.9131 3173.63
0.913 3169.02
0.9133 3178.82
0.9125 3202.58
0.9129 3216.81
0.9143 3164.7
0.9117 3223.59
0.911 3195.76
0.9127 3156.09
0.9133 3191.15
0.9128 3155.66
0.9129 3165.9
0.912 3161.37
0.9099 3232.93
0.9127 3162.61
0.9131 3139.21
0.9113 3180.52
0.9114 3161.87
0.9128 3163.95
0.9131 3170.86
0.9134 3156.0
0.9126 3170.36
0.9116 3168.57
0.9109 3202.98
0.9104 3192.4
0.9121 3145.88
0.9138 3135.1
0.9135 3143.94
0.913 3175.16
0.9143 3129.67
0.912 3160.06
0.9105 3192.17
0.912 3162.02
0.9118 3179.87
0.9129 3146.87
0.9155 3119.57
0.9158 3123.34
0.9143 3128.71
0.9141 3140.42
0.9123 3135.15
0.9145 3118.26
0.9151 3115.4
0.9126 3112.77
0.9142 3106.4
0.9135 3111.66
0.9117 3161.66
0.9113 3121.71
0.9118 3117.2
0.9127 3101.75
0.9139 3089.8
0.9131 3128.98
0.9118 3130.16
0.9117 3120.16
0.9145 3085.32
0.9103 3165.05
0.91 3120.3
0.9109 3129.93
0.9091 3180.57
0.91 3156.48
0.9102 3141.19
0.9112 3140.17
0.9113 3160.96
0.9119 3138.69
0.9094 3184.44
0.9091 3208.4
0.911 3150.21
0.9116 3178.07
0.9143 3125.33
0.9105 3171.04
0.9096 3167.94
0.9146 3118.89
0.9114 3152.84
0.9103 3171.46
